titles,abstracts,terms
Nearly Minimax Optimal Reinforcement Learning for Linear Mixture Markov Decision Processes,"We study reinforcement learning (RL) with linear function approximation where
the underlying transition probability kernel of the Markov decision process
(MDP) is a linear mixture model (Jia et al., 2020; Ayoub et al., 2020; Zhou et
al., 2020) and the learning agent has access to either an integration or a
sampling oracle of the individual basis kernels. We propose a new
Bernstein-type concentration inequality for self-normalized martingales for
linear bandit problems with bounded noise. Based on the new inequality, we
propose a new, computationally efficient algorithm with linear function
approximation named $\text{UCRL-VTR}^{+}$ for the aforementioned linear mixture
MDPs in the episodic undiscounted setting. We show that $\text{UCRL-VTR}^{+}$
attains an $\tilde O(dH\sqrt{T})$ regret where $d$ is the dimension of feature
mapping, $H$ is the length of the episode and $T$ is the number of interactions
with the MDP. We also prove a matching lower bound $\Omega(dH\sqrt{T})$ for
this setting, which shows that $\text{UCRL-VTR}^{+}$ is minimax optimal up to
logarithmic factors. In addition, we propose the $\text{UCLK}^{+}$ algorithm
for the same family of MDPs under discounting and show that it attains an
$\tilde O(d\sqrt{T}/(1-\gamma)^{1.5})$ regret, where $\gamma\in [0,1)$ is the
discount factor. Our upper bound matches the lower bound
$\Omega(d\sqrt{T}/(1-\gamma)^{1.5})$ proved by Zhou et al. (2020) up to
logarithmic factors, suggesting that $\text{UCLK}^{+}$ is nearly minimax
optimal. To the best of our knowledge, these are the first computationally
efficient, nearly minimax optimal algorithms for RL with linear function
approximation.",math
An Intrinsically-Motivated Approach for Learning Highly Exploring and Fast Mixing Policies,"What is a good exploration strategy for an agent that interacts with an
environment in the absence of external rewards? Ideally, we would like to get a
policy driving towards a uniform state-action visitation (highly exploring) in
a minimum number of steps (fast mixing), in order to ease efficient learning of
any goal-conditioned policy later on. Unfortunately, it is remarkably arduous
to directly learn an optimal policy of this nature. In this paper, we propose a
novel surrogate objective for learning highly exploring and fast mixing
policies, which focuses on maximizing a lower bound to the entropy of the
steady-state distribution induced by the policy. In particular, we introduce
three novel lower bounds, that lead to as many optimization problems, that
tradeoff the theoretical guarantees with computational complexity. Then, we
present a model-based reinforcement learning algorithm, IDE$^{3}$AL, to learn
an optimal policy according to the introduced objective. Finally, we provide an
empirical evaluation of this algorithm on a set of hard-exploration tasks.",stat
Adversarial Active Exploration for Inverse Dynamics Model Learning,"We present an adversarial active exploration for inverse dynamics model
learning, a simple yet effective learning scheme that incentivizes exploration
in an environment without any human intervention. Our framework consists of a
deep reinforcement learning (DRL) agent and an inverse dynamics model
contesting with each other. The former collects training samples for the
latter, with an objective to maximize the error of the latter. The latter is
trained with samples collected by the former, and generates rewards for the
former when it fails to predict the actual action taken by the former. In such
a competitive setting, the DRL agent learns to generate samples that the
inverse dynamics model fails to predict correctly, while the inverse dynamics
model learns to adapt to the challenging samples. We further propose a reward
structure that ensures the DRL agent to collect only moderately hard samples
but not overly hard ones that prevent the inverse model from predicting
effectively. We evaluate the effectiveness of our method on several robotic arm
and hand manipulation tasks against multiple baseline models. Experimental
results show that our method is comparable to those directly trained with
expert demonstrations, and superior to the other baselines even without any
human priors.",stat
Accelerated Reinforcement Learning,"Policy gradient methods are widely used in reinforcement learning algorithms
to search for better policies in the parameterized policy space. They do
gradient search in the policy space and are known to converge very slowly.
Nesterov developed an accelerated gradient search algorithm for convex
optimization problems. This has been recently extended for non-convex and also
stochastic optimization. We use Nesterov's acceleration for policy gradient
search in the well-known actor-critic algorithm and show the convergence using
ODE method. We tested this algorithm on a scheduling problem. Here an incoming
job is scheduled into one of the four queues based on the queue lengths. We see
from experimental results that algorithm using Nesterov's acceleration has
significantly better performance compared to algorithm which do not use
acceleration. To the best of our knowledge this is the first time Nesterov's
acceleration has been used with actor-critic algorithm.",cs
Learning Adaptive Display Exposure for Real-Time Advertising,"In E-commerce advertising, where product recommendations and product ads are
presented to users simultaneously, the traditional setting is to display ads at
fixed positions. However, under such a setting, the advertising system loses
the flexibility to control the number and positions of ads, resulting in
sub-optimal platform revenue and user experience. Consequently, major
e-commerce platforms (e.g., Taobao.com) have begun to consider more flexible
ways to display ads. In this paper, we investigate the problem of advertising
with adaptive exposure: can we dynamically determine the number and positions
of ads for each user visit under certain business constraints so that the
platform revenue can be increased? More specifically, we consider two types of
constraints: request-level constraint ensures user experience for each user
visit, and platform-level constraint controls the overall platform monetization
rate. We model this problem as a Constrained Markov Decision Process with
per-state constraint (psCMDP) and propose a constrained two-level reinforcement
learning approach to decompose the original problem into two relatively
independent sub-problems. To accelerate policy learning, we also devise a
constrained hindsight experience replay mechanism. Experimental evaluations on
industry-scale real-world datasets demonstrate the merits of our approach in
both obtaining higher revenue under the constraints and the effectiveness of
the constrained hindsight experience replay mechanism.",stat
Deterministic Certification to Adversarial Attacks via Bernstein Polynomial Approximation,"Randomized smoothing has established state-of-the-art provable robustness
against $\ell_2$ norm adversarial attacks with high probability. However, the
introduced Gaussian data augmentation causes a severe decrease in natural
accuracy. We come up with a question, ""Is it possible to construct a smoothed
classifier without randomization while maintaining natural accuracy?"". We find
the answer is definitely yes. We study how to transform any classifier into a
certified robust classifier based on a popular and elegant mathematical tool,
Bernstein polynomial. Our method provides a deterministic algorithm for
decision boundary smoothing. We also introduce a distinctive approach of
norm-independent certified robustness via numerical solutions of nonlinear
systems of equations. Theoretical analyses and experimental results indicate
that our method is promising for classifier smoothing and robustness
certification.",cs
Systematic Evaluation of Causal Discovery in Visual Model Based Reinforcement Learning,"Inducing causal relationships from observations is a classic problem in
machine learning. Most work in causality starts from the premise that the
causal variables themselves are observed. However, for AI agents such as robots
trying to make sense of their environment, the only observables are low-level
variables like pixels in images. To generalize well, an agent must induce
high-level variables, particularly those which are causal or are affected by
causal variables. A central goal for AI and causality is thus the joint
discovery of abstract representations and causal structure. However, we note
that existing environments for studying causal induction are poorly suited for
this objective because they have complicated task-specific causal graphs which
are impossible to manipulate parametrically (e.g., number of nodes, sparsity,
causal chain length, etc.). In this work, our goal is to facilitate research in
learning representations of high-level variables as well as causal structures
among them. In order to systematically probe the ability of methods to identify
these variables and structures, we design a suite of benchmarking RL
environments. We evaluate various representation learning algorithms from the
literature and find that explicitly incorporating structure and modularity in
models can help causal induction in model-based reinforcement learning.",stat
Design and Evaluation of Product Aesthetics: A Human-Machine Hybrid Approach,"Aesthetics are critically important to market acceptance in many product
categories. In the automotive industry in particular, an improved aesthetic
design can boost sales by 30% or more. Firms invest heavily in designing and
testing new product aesthetics. A single automotive ""theme clinic"" costs
between \$100,000 and \$1,000,000, and hundreds are conducted annually. We use
machine learning to augment human judgment when designing and testing new
product aesthetics. The model combines a probabilistic variational autoencoder
(VAE) and adversarial components from generative adversarial networks (GAN),
along with modeling assumptions that address managerial requirements for firm
adoption. We train our model with data from an automotive partner-7,000 images
evaluated by targeted consumers and 180,000 high-quality unrated images. Our
model predicts well the appeal of new aesthetic designs-38% improvement
relative to a baseline and substantial improvement over both conventional
machine learning models and pretrained deep learning models. New automotive
designs are generated in a controllable manner for the design team to consider,
which we also empirically verify are appealing to consumers. These results,
combining human and machine inputs for practical managerial usage, suggest that
machine learning offers significant opportunity to augment aesthetic design.",stat
Time Series Classification via Topological Data Analysis,"In this paper, we develop topological data analysis methods for
classification tasks on univariate time series. As an application, we perform
binary and ternary classification tasks on two public datasets that consist of
physiological signals collected under stress and non-stress conditions. We
accomplish our goal by using persistent homology to engineer stable topological
features after we use a time delay embedding of the signals and perform a
subwindowing instead of using windows of fixed length. The combination of
methods we use can be applied to any univariate time series and in this
application allows us to reduce noise and use long window sizes without
incurring an extra computational cost. We then use machine learning models on
the features we algorithmically engineered to obtain higher accuracies with
fewer features.",stat
On Out-of-distribution Detection with Energy-based Models,"Several density estimation methods have shown to fail to detect
out-of-distribution (OOD) samples by assigning higher likelihoods to anomalous
data. Energy-based models (EBMs) are flexible, unnormalized density models
which seem to be able to improve upon this failure mode. In this work, we
provide an extensive study investigating OOD detection with EBMs trained with
different approaches on tabular and image data and find that EBMs do not
provide consistent advantages. We hypothesize that EBMs do not learn semantic
features despite their discriminative structure similar to Normalizing Flows.
To verify this hypotheses, we show that supervision and architectural
restrictions improve the OOD detection of EBMs independent of the training
approach.",cs
A Psychophysical Oriented Saliency Map Prediction Model,"Visual attention is one of the most significant characteristics for selecting
and understanding the visual redundancy of the external world. Complex scenes
include enormous redundancy. The human vision system cannot process all
information simultaneously, due to the visual information bottleneck. The human
visual system mainly focuses on dominant parts of scenes, in order to reduce
the redundant input of visual information. This is commonly known as visual
attention prediction or visual saliency map prediction. This paper proposes a
new psychophysical saliency prediction architecture, WECSF, inspired by
multi-channel model of visual cortex functioning in humans. The model consists
of opponent color channels, a wavelet transform and wavelet energy map, and a
contrast sensitivity function for extracting low-level image features and
providing maximum approximation to the human visual system. In this paper, the
proposed model is evaluated using several data sets, including the MIT1003,
MIT300, TORONTO, SID4VAM, and UCF Sports data sets, in order to demonstrate its
efficiency. We also quantitatively and qualitatively compare the saliency
prediction performance with that of other state-of-the-art models. Our model
achieved stable and very good performance. Additionally, Fourier and
spectral-inspired saliency prediction models outperformed other
state-of-the-art non-neural networks (and even deep neural network) models on
psychophysical synthetic images. Finally, the proposed model can also be
applied to spatial-temporal saliency prediction and achieved superior
performance in the evaluation.",cs
